"cjis_code","COMAR","offense_literal","source","fel_mis","max_term","min_term","type","seriousness","fine"
"1-1082","309-1","Prostitution and Related Crimes
Prostitution, etc.--Human
trafficking","CR, §11-303(c)(1)","Misd.","10Y","","Person","III","$5,000"
"1-1083","309-1","Prostitution and Related Crimes
Prostitution, etc.--Human
trafficking","CR, §11-303(c)(1)","Misd.","10Y","","Person","III","$5,000"
"","31","Assault Weapons
Use of assault weapon, rapid fire
trigger activator, or magazine with a
capacity of more than 10 rounds in
the commission of a felony or crime
of violence, subsequent","CR, §4-306(b)(3)","Misd.","20Y","","Person","II",""
"1-0754","310","Prostitution and Related Crimes
Prostitution, etc.--Human
trafficking involving a minor or with
the intent to use force, threat,
coercion, or fraud","CR, §11-303(c)(2)","Felony","25Y","","Person","II","$15,000"
"1-0756","310","Prostitution and Related Crimes
Prostitution, etc.--Human
trafficking involving a minor or with
the intent to use force, threat,
coercion, or fraud","CR, §11-303(c)(2)","Felony","25Y","","Person","II","$15,000"
"1-0758","310","Prostitution and Related Crimes
Prostitution, etc.--Human
trafficking involving a minor or with
the intent to use force, threat,
coercion, or fraud","CR, §11-303(c)(2)","Felony","25Y","","Person","II","$15,000"
"1-0761","310","Prostitution and Related Crimes
Prostitution, etc.--Human
trafficking involving a minor or with
the intent to use force, threat,
coercion, or fraud","CR, §11-303(c)(2)","Felony","25Y","","Person","II","$15,000"
"1-0786","310","Prostitution and Related Crimes
Prostitution, etc.--Human
trafficking involving a minor or with
the intent to use force, threat,
coercion, or fraud","CR, §11-303(c)(2)","Felony","25Y","","Person","II","$15,000"
"1-0787","310","Prostitution and Related Crimes
Prostitution, etc.--Human
trafficking involving a minor or with
the intent to use force, threat,
coercion, or fraud","CR, §11-303(c)(2)","Felony","25Y","","Person","II","$15,000"
"1-0788","310","Prostitution and Related Crimes
Prostitution, etc.--Human
trafficking involving a minor or with
the intent to use force, threat,
coercion, or fraud","CR, §11-303(c)(2)","Felony","25Y","","Person","II","$15,000"
"1-0789","310","Prostitution and Related Crimes
Prostitution, etc.--Human
trafficking involving a minor or with
the intent to use force, threat,
coercion, or fraud","CR, §11-303(c)(2)","Felony","25Y","","Person","II","$15,000"
"1-1090","313-1","Prostitution and Related Crimes
Prostitution, etc.--Receive money
for prostitution","CR, §11-304(a)","Misd.","10Y","","Person","IV","$10,000"
"1-1093","317-1","Prostitution and Related Crimes
Prostitution, etc.--General
assignation and solicitation","CR, §11-306(a)","Misd.","1Y","","Person","VII","$500"
"2-2125","318","Public Fraud
State health plan fraud, resulting in
death","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(a)
(penalty)","Felony","LIFE","","Person","II","$200,000"
"2-2165","318","Public Fraud
State health plan fraud, resulting in
death","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(a)
(penalty)","Felony","LIFE","","Person","II","$200,000"
"2-2325","318","Public Fraud
State health plan fraud, resulting in
death","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(a)
(penalty)","Felony","LIFE","","Person","II","$200,000"
"2-2365","318","Public Fraud
State health plan fraud, resulting in
death","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(a)
(penalty)","Felony","LIFE","","Person","II","$200,000"
"2-2880","318","Public Fraud
State health plan fraud, resulting in
death","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(a)
(penalty)","Felony","LIFE","","Person","II","$200,000"
"2-2930","318","Public Fraud
State health plan fraud, resulting in
death","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(a)
(penalty)","Felony","LIFE","","Person","II","$200,000"
"2-2970","318","Public Fraud
State health plan fraud, resulting in
death","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(a)
(penalty)","Felony","LIFE","","Person","II","$200,000"
"2-2990","318","Public Fraud
State health plan fraud, resulting in
death","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(a)
(penalty)","Felony","LIFE","","Person","II","$200,000"
"2-4125","318","Public Fraud
State health plan fraud, resulting in
death","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(a)
(penalty)","Felony","LIFE","","Person","II","$200,000"
"2-2120","319","Public Fraud
State health plan fraud, resulting in
serious injury","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(b)
(penalty)","Felony","20Y","","Person","III","$100,000"
"2-2160","319","Public Fraud
State health plan fraud, resulting in
serious injury","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(b)
(penalty)","Felony","20Y","","Person","III","$100,000"
"2-2320","319","Public Fraud
State health plan fraud, resulting in
serious injury","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(b)
(penalty)","Felony","20Y","","Person","III","$100,000"
"2-2360","319","Public Fraud
State health plan fraud, resulting in
serious injury","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(b)
(penalty)","Felony","20Y","","Person","III","$100,000"
"2-2875","319","Public Fraud
State health plan fraud, resulting in
serious injury","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(b)
(penalty)","Felony","20Y","","Person","III","$100,000"
"2-2925","319","Public Fraud
State health plan fraud, resulting in
serious injury","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(b)
(penalty)","Felony","20Y","","Person","III","$100,000"
"2-2965","319","Public Fraud
State health plan fraud, resulting in
serious injury","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(b)
(penalty)","Felony","20Y","","Person","III","$100,000"
"2-2985","319","Public Fraud
State health plan fraud, resulting in
serious injury","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(b)
(penalty)","Felony","20Y","","Person","III","$100,000"
"2-4120","319","Public Fraud
State health plan fraud, resulting in
serious injury","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(b)
(penalty)","Felony","20Y","","Person","III","$100,000"
"3-5260","32","Assault Weapons
Use of assault weapon, rapid fire
trigger activator, or magazine with a
capacity of more than 10 rounds in
the commission of a felony or crime
of violence, 1st offense","CR, §4-306(b)(2)","Misd.","20Y","","Person","III",""
"2-2607","320","Public Fraud
Perjury--Public Assistance fraud in
application","CR, §8-504(b),
CR, §9-
101(penalty)","Misd.","10Y","","Property","IV","$1,000"
"1-0715","321","Public Fraud
Use, with intent to defraud, of a
facsimile signature, or any
reproduction of it, of any authorized
officer; or use with intent to defraud,
of a facsimile seal, or any
reproduction of it, of the State or of
any of its political subdivisions","SF, §2-305(b)","Felony","10Y","","Property","V","$5,000"
"2-1167","322","Public Fraud
Violation of Architectural and
Engineering Services subtitle","SF, §13-322","Felony","10Y","","Property","V","$20,000"
"2-2110","322-1","Public Fraud
State health plan fraud, less than
$1,500","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(d)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"2-2150","322-1","Public Fraud
State health plan fraud, less than
$1,500","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(d)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"2-2190","322-1","Public Fraud
State health plan fraud, less than
$1,500","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(d)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"2-2350","322-1","Public Fraud
State health plan fraud, less than
$1,500","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(d)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"2-2865","322-1","Public Fraud
State health plan fraud, less than
$1,500","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(d)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"2-2910","322-1","Public Fraud
State health plan fraud, less than
$1,500","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(d)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"2-2955","322-1","Public Fraud
State health plan fraud, less than
$1,500","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(d)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"2-2975","322-1","Public Fraud
State health plan fraud, less than
$1,500","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(d)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"2-4110","322-1","Public Fraud
State health plan fraud, less than
$1,500","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(d)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"2-2115","323","Public Fraud
State health plan fraud, $1,500 or
greater","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(c)
(penalty)","Felony","5Y","","Property","V","$100,000"
"2-2155","323","Public Fraud
State health plan fraud, $1,500 or
greater","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(c)
(penalty)","Felony","5Y","","Property","V","$100,000"
"2-2195","323","Public Fraud
State health plan fraud, $1,500 or
greater","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(c)
(penalty)","Felony","5Y","","Property","V","$100,000"
"2-2355","323","Public Fraud
State health plan fraud, $1,500 or
greater","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(c)
(penalty)","Felony","5Y","","Property","V","$100,000"
"2-2870","323","Public Fraud
State health plan fraud, $1,500 or
greater","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(c)
(penalty)","Felony","5Y","","Property","V","$100,000"
"2-2920","323","Public Fraud
State health plan fraud, $1,500 or
greater","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(c)
(penalty)","Felony","5Y","","Property","V","$100,000"
"2-2960","323","Public Fraud
State health plan fraud, $1,500 or
greater","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(c)
(penalty)","Felony","5Y","","Property","V","$100,000"
"2-2980","323","Public Fraud
State health plan fraud, $1,500 or
greater","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(c)
(penalty)","Felony","5Y","","Property","V","$100,000"
"2-4115","323","Public Fraud
State health plan fraud, $1,500 or
greater","CR, §8-509
CR, §8-510
CR, §8-511
CR, §8-512
CR, §8-513
CR, §8-514
CR, §8-515
CR, §8-516(c)
(penalty)","Felony","5Y","","Property","V","$100,000"
"2-1166","324","Public Fraud
Falsification, concealment, etc., of
material facts in connection with a
procurement contract","SF, §11-205.1(c)","Felony","5Y","","Property","VI","$20,000"
"2-1168","325","Public Fraud
Minority Business Participation--
Fraudulently obtain, etc. or hold
certification; aid another person in
fraudulently obtaining, etc.
certification; willfully obstruct,
impede, etc., a State official, etc.,
investigating the qualifications of a
business entity that has requested
certification; fraud in any minority
business enterprise matter under this
subtitle","SF, §14-308(a)(2)","Felony","5Y","","Property","VI","$20,000"
"","326","Public Fraud
Sale or purchase of food stamp
benefits; or sale or purchase of
merchandise with food stamp
benefits, $1,000 or more","HU, §5-504(c)","Felony","5Y","","Property","VI","$10,000"
"7-2607","327","Public Fraud
Fraud--Public Assistance fraud,
generally (with the exception of
Medicaid fraud)","CR, §8-503(b)","Misd.","3Y","","Property","VII","$1,000"
"6-2607","328","Public Fraud
Fraud--Falsely obtain legal
representation by the Office of the
Public Defender","CR, §8-521(b)","Misd.","1Y","","Property","VII","$1,000"
"1-0419","328-1","Public Fraud
Fraud--Housing assistance fraud;
Making false statements","CR, §8-523(b)","Misd.","3Y","","Property","VII",""
"1-1505","329","Public Fraud
Sale or purchase of food stamp
benefits; or sale or purchase of
merchandise with food stamp
benefits, less than $1,000","HU, §5-504(d)","Misd.","3Y","","Property","VII","$1,000"
"1-1448","33","Assault Weapons
Unlawfully possess, sell, offer to
sell, etc., an assault weapon;
manufacture, sell, offer to sell, etc.,
a detachable magazine with a
capacity of more than 10 rounds;
manufacture, possess, sell, etc., a
rapid fire trigger activator","CR, §4-303(a)
CR, §4-305(b)
CR, §4-305.1(a)
CR, §4-306(a)
(penalty)","Misd.","3Y","","Person","VI","$5,000"
"3-5250","33","Assault Weapons
Unlawfully possess, sell, offer to
sell, etc., an assault weapon;
manufacture, sell, offer to sell, etc.,
a detachable magazine with a
capacity of more than 10 rounds;
manufacture, possess, sell, etc., a
rapid fire trigger activator","CR, §4-303(a)
CR, §4-305(b)
CR, §4-305.1(a)
CR, §4-306(a)
(penalty)","Misd.","3Y","","Person","VI","$5,000"
"3-5255","33","Assault Weapons
Unlawfully possess, sell, offer to
sell, etc., an assault weapon;
manufacture, sell, offer to sell, etc.,
a detachable magazine with a
capacity of more than 10 rounds;
manufacture, possess, sell, etc., a
rapid fire trigger activator","CR, §4-303(a)
CR, §4-305(b)
CR, §4-305.1(a)
CR, §4-306(a)
(penalty)","Misd.","3Y","","Person","VI","$5,000"
"","330","Public Fraud
Request or obtain info on HIV
and/or AIDS under false pretenses
or deception","HG, §18-
215(f)(1)(i)","Misd.","5Y","","Property","V","$100,000"
"","330-1","Public Fraud
Request or obtain info on HIV
and/or AIDS under false pretenses
or deception with intent to sell","HG, §18-
215(f)(1)(ii)","Misd.","10Y","","Property","IV","$250,000"
"2-0015","331","Public Health and Safety,
Crimes Against
Endangering others","EN, §7-265(d)","Felony","15Y","","Person","II","$250,000"
"1-0012","332","Public Health and Safety,
Crimes Against
Hazardous substances--storing,
treating, dumping, etc., in other than
hazardous substance facility;
transporting for treatment, storage,
etc. to any place other than
hazardous substance facility;
falsifying required information;
authorizing, directing, etc., any
offense listed in this section","EN, §7-265(a)","Felony","5Y","","Person","V","$100,000"
"2-0012","332","Public Health and Safety,
Crimes Against
Hazardous substances--storing,
treating, dumping, etc., in other than
hazardous substance facility;
transporting for treatment, storage,
etc. to any place other than
hazardous substance facility;
falsifying required information;
authorizing, directing, etc., any
offense listed in this section","EN, §7-265(a)","Felony","5Y","","Person","V","$100,000"
"2-0013","332","Public Health and Safety,
Crimes Against
Hazardous substances--storing,
treating, dumping, etc., in other than
hazardous substance facility;
transporting for treatment, storage,
etc. to any place other than
hazardous substance facility;
falsifying required information;
authorizing, directing, etc., any
offense listed in this section","EN, §7-265(a)","Felony","5Y","","Person","V","$100,000"
"2-0014","332","Public Health and Safety,
Crimes Against
Hazardous substances--storing,
treating, dumping, etc., in other than
hazardous substance facility;
transporting for treatment, storage,
etc. to any place other than
hazardous substance facility;
falsifying required information;
authorizing, directing, etc., any
offense listed in this section","EN, §7-265(a)","Felony","5Y","","Person","V","$100,000"
"1-0645","333","Public Health and Safety,
Crimes Against
Unlawfully cause or unlawfully
dump, deposit, throw, etc., litter
greater than 500 lbs. in weight or
216 cubic feet in volume or for
commercial purposes","CR, §10-
110(f)(2)(iii)","Misd.","5Y","","Property","VI","$30,000"
"1-0646","333","Public Health and Safety,
Crimes Against
Unlawfully cause or unlawfully
dump, deposit, throw, etc., litter
greater than 500 lbs. in weight or
216 cubic feet in volume or for
commercial purposes","CR, §10-
110(f)(2)(iii)","Misd.","5Y","","Property","VI","$30,000"
"1-0516","334","Public Health and Safety,
Crimes Against
Hazardous Substance--failure to
meet requirement for generators;
failure to meet standards for hauler
certificate or driver certificate;
violations of restrictions on
transporting controlled hazardous
substances","EN, §7-265(b)
(penalty)","Misd.","3Y","","Person","VII","$50,000"
"1-5516","335","Public Health and Safety,
Crimes Against
Pollutants--dispersing into State
waters, 1st offense","EN, §9-
343(a)(1)(i)
(penalty)","Misd.","1Y","","Property","VII","$25,000"
"","336","Public Health and Safety,
Crimes Against
Pollutants--dispersing into State
waters, subsequent","EN, §9-
343(a)(1)(ii)
(penalty)","Misd.","2Y","","Property","VII","$50,000"
"1-0895","337","Public Health and Safety,
Crimes Against
Pollutants--dispersing into State
waters, falsification","EN, §9-343(b)
(penalty)","Misd.","2Y","","Property","VII","$50,000"
"1-0643","338","Public Health and Safety,
Crimes Against
Unlawfully cause or unlawfully
dump, deposit, throw, etc., litter,
greater than 100 lbs. in weight or 27
cubic feet in volume","CR, §10-
110(f)(2)(ii)","Misd.","1Y","","Property","VII","$10,000"
"1-0644","338","Public Health and Safety,
Crimes Against
Unlawfully cause or unlawfully
dump, deposit, throw, etc., litter,
greater than 100 lbs. in weight or 27
cubic feet in volume","CR, §10-
110(f)(2)(ii)","Misd.","1Y","","Property","VII","$10,000"
"1-0554","338-1","Public Health and Safety,
Crimes Against
Falsifying permits, licenses, etc., to
demonstrate compliance with
environmental regulatory
requirements","EN, §1-302","Misd.","2Y","","Property","VII","$50,000"
"1-0555","338-1","Public Health and Safety,
Crimes Against
Falsifying permits, licenses, etc., to
demonstrate compliance with
environmental regulatory
requirements","EN, §1-302","Misd.","2Y","","Property","VII","$50,000"
"","338-2","Public Health and Safety,
Crimes Against
Purchase, sell, transfer, or obtain any
stem cell material donated in
accordance with EC, §10-438 for
financial gain or advantage","EC, §10-439","Misd.","3Y","","Property","VI","$50,000"
"","338-3","Public Health and Safety,
Crimes Against
Conducting or attempting to conduct
human cloning","EC, §10-440","Felony","10Y","","Person","IV","$200,000"
"3-5740","339","Railroads, Crimes Involving
Obstruct, break, damage, etc.,
railroad with intent to obstruct,
overthrow and direct from the tracks
a railroad vehicle","CR, §6-502(b)","Felony","10Y","","Property","V","$5,000"
"3-5750","339","Railroads, Crimes Involving
Obstruct, break, damage, etc.,
railroad with intent to obstruct,
overthrow and direct from the tracks
a railroad vehicle","CR, §6-502(b)","Felony","10Y","","Property","V","$5,000"
"2-0175","34","Assisted Suicide
Coercion; provide means;
participation","CR, §3-102
CR, §3-104","Felony","1Y","","Person","VII","$10,000"
"2-0180","34","Assisted Suicide
Coercion; provide means;
participation","CR, §3-102
CR, §3-104","Felony","1Y","","Person","VII","$10,000"
"2-0185","34","Assisted Suicide
Coercion; provide means;
participation","CR, §3-102
CR, §3-104","Felony","1Y","","Person","VII","$10,000"
"3-5312","340","Railroads, Crimes Involving
Shoot at, throw at a railroad
locomotive, motor, tender, car","CR, §6-505(b)","Misd.","5Y","","Property","VI","$1,000"
"1-0826","341","Robbery
Carjacking--armed","CR, §3-405(c)","Felony","30Y *","","Person","II",""
"1-0825","342","Robbery
Carjacking--unarmed","CR, §3-405(b)","Felony","30Y *","","Person","III",""
"2-0700","343","Robbery
Robbery","CR, §3-402","Felony","15Y *","","Person","IV",""
"2-0705","344","Robbery
Robbery with a dangerous weapon","CR, §3-403(a)(1)","Felony","20Y *","","Person","III",""
"2-0705","345","Robbery
Robbery by display of written
instrument claiming possession of
dangerous weapon","CR, §3-403(a)(2)","Felony","20Y *","","Person","III",""
"","345-1","Sabotage and Related Crimes
Defense related activities--
Intentional defective workmanship","CR, §9-703","Felony","10Y","","Property","IV","$10,000"
"","345-2","Sabotage and Related Crimes
Defense related activities--
Intentional injury or interference
with property","CR, §9-702","Felony","10Y","","Property","IV","$10,000"
"1-5574","346","Securities Fraud and Related
Crimes
Securities fraud and other violations
of Maryland Securities Act","CA, §11-705(a)(1)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"1-5575","346","Securities Fraud and Related
Crimes
Securities fraud and other violations
of Maryland Securities Act","CA, §11-705(a)(1)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"1-5576","346","Securities Fraud and Related
Crimes
Securities fraud and other violations
of Maryland Securities Act","CA, §11-705(a)(1)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"2-0670","346","Securities Fraud and Related
Crimes
Securities fraud and other violations
of Maryland Securities Act","CA, §11-705(a)(1)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"2-0671","346","Securities Fraud and Related
Crimes
Securities fraud and other violations
of Maryland Securities Act","CA, §11-705(a)(1)
(penalty)","Misd.","3Y","","Property","VII","$50,000"
"","347","Securities Fraud and Related
Crimes
Use a senior or retiree credential or
designation in a way that is
misleading in connection with the
offer, sale, or purchase of securities,
etc.","CA, §11-305
CA, §11-705(a)(2)
(penalty)","Misd.","5Y","","Property","V","$100,000"
"1-1102","348","Sexual Crimes
Rape, 1st degree","CR, §3-303(d)(1)","Felony","LIFE *","","Person","I",""
"1-1102","348-1","Sexual Crimes
Rape, 1st degree, in conjunction with
kidnapping child younger than 16
years old","CR, §3-303(d)(2)","Felony","LIFE
without
Parole
*","","Person","I",""
"1-1102","348-2","Sexual Crimes
Rape, 1st degree, subsequent","CR, §3-303(d)(3)","Felony","LIFE
without
Parole
*","","Person","I",""
"1-1102","348-3","Sexual Crimes
Rape, 1st degree, adult offender with
victim younger than 13 years old","CR, §3-303(d)(4)","Felony","LIFE
without
Parole
*","MM*=25Y","Person","I",""
"2-1102","349","Sexual Crimes
Sex Offense, 1st degree (offense date
prior to October 1, 2017)","CR, §3-305(d)(1)","Felony","LIFE *","","Person","I",""
"2-1102","349-1","Sexual Crimes
Sex Offense, 1st degree, in
conjunction with kidnapping child
younger than 16 years old (offense
date prior to October 1, 2017)","CR, §3-305(d)(2)","Felony","LIFE
without
Parole
*","","Person","I",""
"2-1102","349-2","Sexual Crimes
Sex Offense, 1st degree, subsequent
(offense date prior to October 1,
2017)","CR, §3-305(d)(3)","Felony","LIFE
without
Parole
*","","Person","I",""
"2-1102","349-3","Sexual Crimes
Sex Offense, 1st degree, adult
offender with victim younger than
13 years old (offense date prior to
October 1, 2017)","CR, §3-305(d)(4)","Felony","LIFE
without
Parole
*","","Person","I",""
"1-1164","35","Bad Check
Felony bad check, $100,000 or
greater","CR, §8-103
CR, §8-106(a)(3)","Felony","20Y","","Property","III","$25,000"
"1-1168","35","Bad Check
Felony bad check, $100,000 or
greater","CR, §8-103
CR, §8-106(a)(3)","Felony","20Y","","Property","III","$25,000"
"1-1172","35","Bad Check
Felony bad check, $100,000 or
greater","CR, §8-103
CR, §8-106(a)(3)","Felony","20Y","","Property","III","$25,000"
"1-1176","35","Bad Check
Felony bad check, $100,000 or
greater","CR, §8-103
CR, §8-106(a)(3)","Felony","20Y","","Property","III","$25,000"
"1-1180","35","Bad Check
Felony bad check, $100,000 or
greater","CR, §8-103
CR, §8-106(a)(3)","Felony","20Y","","Property","III","$25,000"
"1-1165","35-1","Bad Check
Felony bad check, at least $25,000
but less than $100,000","CR, §8-103
CR, §8-106(a)(2)","Felony","10Y","","Property","V","$15,000"
"1-1169","35-1","Bad Check
Felony bad check, at least $25,000
but less than $100,000","CR, §8-103
CR, §8-106(a)(2)","Felony","10Y","","Property","V","$15,000"
"1-1173","35-1","Bad Check
Felony bad check, at least $25,000
but less than $100,000","CR, §8-103
CR, §8-106(a)(2)","Felony","10Y","","Property","V","$15,000"
"1-1177","35-1","Bad Check
Felony bad check, at least $25,000
but less than $100,000","CR, §8-103
CR, §8-106(a)(2)","Felony","10Y","","Property","V","$15,000"
"1-1181","35-1","Bad Check
Felony bad check, at least $25,000
but less than $100,000","CR, §8-103
CR, §8-106(a)(2)","Felony","10Y","","Property","V","$15,000"
"1-1166","35-2","Bad Check
Felony bad check, at least $1,500
but less than $25,000","CR, §8-103
CR, §8-106(a)(1)","Felony","5Y","","Property","VI","$10,000"
"1-1170","35-2","Bad Check
Felony bad check, at least $1,500
but less than $25,000","CR, §8-103
CR, §8-106(a)(1)","Felony","5Y","","Property","VI","$10,000"
"1-1174","35-2","Bad Check
Felony bad check, at least $1,500
but less than $25,000","CR, §8-103
CR, §8-106(a)(1)","Felony","5Y","","Property","VI","$10,000"
"1-1178","35-2","Bad Check
Felony bad check, at least $1,500
but less than $25,000","CR, §8-103
CR, §8-106(a)(1)","Felony","5Y","","Property","VI","$10,000"
"1-1182","35-2","Bad Check
Felony bad check, at least $1,500
but less than $25,000","CR, §8-103
CR, §8-106(a)(1)","Felony","5Y","","Property","VI","$10,000"
"1-1162","35-3","Bad Check
Multiple bad checks within a 30-day
period, each at least $1,500 but less
than $25,000 and totaling at least
$1,500 but less than $25,000","CR, §8-103
CR, §8-106(b)","Felony","5Y","","Property","VI","$10,000"
"1-1163","35-3","Bad Check
Multiple bad checks within a 30-day
period, each at least $1,500 but less
than $25,000 and totaling at least
$1,500 but less than $25,000","CR, §8-103
CR, §8-106(b)","Felony","5Y","","Property","VI","$10,000"
"2-1120","350","Sexual Crimes
Attempted rape, 1st degree","CR, §3-309(a)","Felony","LIFE *","","Person","II",""
"2-1125","351","Sexual Crimes
Attempted sexual offense, 1st degree
(offense date prior to October 1,
2017)","CR, §3-311(a)","Felony","LIFE *","","Person","II",""
"2-1103","352","Sexual Crimes
Rape, 2nd degree","CR, §3-304(c)(1)","Felony","20Y *","","Person","II",""
"2-1103","352-1","Sexual Crimes
Rape, 2nd degree, adult offender with
victim younger than 13 years old","CR, §3-304(c)(2)","Felony","LIFE *","","Person","II",""
"2-3600","353","Sexual Crimes
Sex Offense, 2nd degree (offense
date prior to October 1, 2017)","CR, §3-306(c)(1)","Felony","20Y *","","Person","II",""
"2-3600","353-1","Sexual Crimes
Sex Offense, 2nd degree, adult
offender with victim younger than
13 years old (offense date prior to
October 1, 2017)","CR, §3-306(c)(2)","Felony","LIFE *","","Person","II",""
"2-1110","354","Sexual Crimes
Attempted rape, 2nd degree","CR, §3-310(a)","Felony","20Y *","","Person","III",""
"2-1115","355","Sexual Crimes
Attempted sexual offense, 2nd degree
(offense date prior to October 1,
2017)","CR, §3-312(a)","Felony","20Y *","","Person","III",""
"1-3604","356","Sexual Crimes
Incest","CR, §3-323","Felony","10Y","","Person","IV",""
"3-3600","356-1","Sexual Crimes
Sex Offense, 3rd degree (a)(1)
employ or display a dangerous
weapon, etc.; (a)(2) with
substantially cognitively impaired,
mentally incapacitated, or physically
helpless individual","CR, §3-307(a)(1)
CR, §3-307(a)(2)","Felony","10Y","","Person","IV",""
"3-3600","357","Sexual Crimes
Sex Offense, 3rd degree (a)(3),
(a)(4), (a)(5) --age based elements","CR, §3-307(a)(3)
CR, §3-307(a)(4)
CR, §3-307(a)(5)","Felony","10Y","","Person","V",""
